rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0000.jpg,0.0,0.5314,0.4913,0.2857,1.0,5,2,False,False
75,frame_0019.jpg,7.6,0.5305,0.5752,0.1429,1.0,2,1,False,False
76,frame_0193.jpg,77.2,0.5265,0.6142,0.5714,0.24,6,4,False,False
77,frame_0388.jpg,155.2,0.5219,0.7227,0.4286,0.16,8,3,False,False
78,frame_0095.jpg,38.0,0.5202,0.6336,0.5714,0.16,6,4,False,False
79,frame_0017.jpg,6.8,0.5184,0.4653,0.2857,1.0,4,2,False,False
80,frame_0070.jpg,28.0,0.5179,0.6357,0.0,1.0,6,0,False,False
81,frame_0078.jpg,31.2,0.5175,0.5276,0.2857,0.84,6,2,False,False
82,frame_0127.jpg,50.8,0.5167,0.542,0.2857,0.8,5,2,False,False
83,frame_0015.jpg,6.0,0.5151,0.6302,0.0,1.0,4,0,False,False
84,frame_0016.jpg,6.4,0.5129,0.3686,0.4286,1.0,5,3,False,False
85,frame_0089.jpg,35.6,0.5085,0.5142,0.5714,0.4,6,4,False,False
86,frame_0290.jpg,116.0,0.5064,0.4356,0.4286,0.8,6,3,False,False
87,frame_0113.jpg,45.2,0.5008,0.6484,0.4286,0.24,4,3,False,False
88,frame_0231.jpg,92.4,0.499,0.7626,0.2857,0.16,6,2,False,False
89,frame_0120.jpg,48.0,0.4945,0.6096,0.2857,0.52,4,2,False,False
90,frame_0307.jpg,122.8,0.4942,0.6512,0.4286,0.2,8,3,False,False
91,frame_0082.jpg,32.8,0.4936,0.5438,0.2857,0.68,3,2,False,False
92,frame_0317.jpg,126.8,0.492,0.7326,0.2857,0.2,5,2,False,False
93,frame_0215.jpg,86.0,0.4907,0.618,0.2857,0.48,2,2,False,False
94,frame_0281.jpg,112.4,0.4886,0.544,0.4286,0.44,5,3,False,False
95,frame_0133.jpg,53.2,0.4885,0.4056,0.2857,1.0,5,2,False,False
96,frame_0011.jpg,4.4,0.4882,0.4049,0.2857,1.0,3,2,False,False
97,frame_0300.jpg,120.0,0.4872,0.611,0.2857,0.48,4,2,False,False
98,frame_0202.jpg,80.8,0.4864,0.5614,0.2857,0.6,3,2,False,False
99,frame_0024.jpg,9.6,0.4856,0.5712,0.0,1.0,1,0,False,False
100,frame_0087.jpg,34.8,0.4851,0.6925,0.1429,0.48,3,1,False,False
101,frame_0319.jpg,127.6,0.485,0.5152,0.5714,0.28,9,4,False,False
102,frame_0008.jpg,3.2,0.484,0.4823,0.1429,1.0,3,1,False,False
103,frame_0275.jpg,110.0,0.4783,0.6194,0.4286,0.2,6,3,False,False
104,frame_0390.jpg,156.0,0.4719,0.569,0.5714,0.08,9,4,False,False
105,frame_0391.jpg,156.4,0.4715,0.6698,0.4286,0.04,9,3,False,False
106,frame_0292.jpg,116.8,0.4673,0.4431,0.2857,0.8,5,2,False,False
107,frame_0295.jpg,118.0,0.4657,0.5736,0.1429,0.68,4,1,False,False
108,frame_0010.jpg,4.0,0.4655,0.531,0.0,1.0,1,0,False,False
109,frame_0298.jpg,119.2,0.4651,0.5347,0.2857,0.56,6,2,False,False
110,frame_0083.jpg,33.2,0.4615,0.4956,0.2857,0.64,2,2,False,False
111,frame_0228.jpg,91.2,0.4594,0.56,0.5714,0.04,5,4,False,False
112,frame_0222.jpg,88.8,0.4586,0.58,0.4286,0.2,4,3,False,False
113,frame_0067.jpg,26.8,0.458,0.4302,0.1429,1.0,7,1,False,False
114,frame_0279.jpg,111.6,0.4572,0.5132,0.4286,0.36,6,3,False,False
115,frame_0327.jpg,130.8,0.4564,0.811,0.1429,0.04,8,1,False,False
116,frame_0128.jpg,51.2,0.4538,0.4858,0.1429,0.84,5,1,False,False
117,frame_0195.jpg,78.0,0.4532,0.6069,0.2857,0.32,4,2,False,False
118,frame_0274.jpg,109.6,0.453,0.6706,0.2857,0.16,6,2,False,False
119,frame_0121.jpg,48.4,0.4478,0.5002,0.2857,0.56,4,2,False,False
120,frame_0167.jpg,66.8,0.4478,0.4841,0.2857,0.6,6,2,False,False
121,frame_0210.jpg,84.0,0.4478,0.5379,0.1429,0.68,3,1,False,False
122,frame_0285.jpg,114.0,0.4474,0.569,0.1429,0.6,5,1,False,False
123,frame_0399.jpg,159.6,0.4464,0.4379,0.5714,0.28,7,4,False,False
124,frame_0374.jpg,149.6,0.4448,0.7238,0.1429,0.2,7,1,False,False
125,frame_0320.jpg,128.0,0.4438,0.5344,0.4286,0.24,6,3,False,False
126,frame_0101.jpg,40.4,0.4417,0.7656,0.1429,0.08,2,1,False,False
127,frame_0218.jpg,87.2,0.4369,0.7297,0.0,0.36,2,0,False,False
128,frame_0108.jpg,43.2,0.436,0.5131,0.5714,0.04,5,4,False,False
129,frame_0232.jpg,92.8,0.4357,0.5343,0.4286,0.2,8,3,False,False
130,frame_0321.jpg,128.4,0.4346,0.5321,0.4286,0.2,6,3,False,False
131,frame_0385.jpg,154.0,0.4342,0.5313,0.4286,0.2,7,3,False,False
132,frame_0308.jpg,123.2,0.4339,0.6323,0.2857,0.16,4,2,False,False
133,frame_0168.jpg,67.2,0.4327,0.47,0.2857,0.56,5,2,False,False
134,frame_0185.jpg,74.0,0.4325,0.5758,0.4286,0.08,5,3,False,False
135,frame_0199.jpg,79.6,0.4324,0.6728,0.0,0.48,1,0,False,False
136,frame_0229.jpg,91.6,0.4312,0.5733,0.4286,0.08,8,3,False,False
137,frame_0027.jpg,10.8,0.43,0.3743,0.1429,1.0,4,1,False,False
138,frame_0201.jpg,80.4,0.43,0.4646,0.2857,0.56,4,2,False,False
139,frame_0097.jpg,38.8,0.4297,0.5702,0.4286,0.08,4,3,False,False
140,frame_0277.jpg,110.8,0.4268,0.4844,0.4286,0.28,7,3,False,False
141,frame_0211.jpg,84.4,0.4252,0.5087,0.1429,0.64,2,1,False,False
142,frame_0332.jpg,132.8,0.4252,0.6629,0.2857,0.04,7,2,False,False
143,frame_0297.jpg,118.8,0.4249,0.4383,0.2857,0.6,5,2,False,False
144,frame_0096.jpg,38.4,0.4226,0.5401,0.4286,0.12,7,3,False,False
145,frame_0175.jpg,70.0,0.4225,0.6472,0.1429,0.28,4,1,False,False
146,frame_0126.jpg,50.4,0.4216,0.4535,0.1429,0.76,6,1,False,False
147,frame_0212.jpg,84.8,0.419,0.5122,0.1429,0.6,2,1,False,False
148,frame_0122.jpg,48.8,0.418,0.5961,0.0,0.6,3,0,False,False
149,frame_0171.jpg,68.4,0.4174,0.4874,0.2857,0.44,4,2,False,False
150,frame_0289.jpg,115.6,0.4152,0.4406,0.1429,0.76,4,1,False,False
151,frame_0026.jpg,10.4,0.415,0.2586,0.2857,1.0,3,2,False,False
152,frame_0188.jpg,75.2,0.4131,0.553,0.4286,0.04,7,3,False,False
153,frame_0378.jpg,151.2,0.4119,0.706,0.1429,0.08,8,1,False,False
154,frame_0288.jpg,115.2,0.4112,0.4487,0.1429,0.72,5,1,False,False
155,frame_0192.jpg,76.8,0.411,0.4849,0.4286,0.2,4,3,False,False
156,frame_0115.jpg,46.0,0.4067,0.5997,0.1429,0.32,6,1,False,False
157,frame_0377.jpg,150.8,0.4058,0.6778,0.1429,0.12,9,1,False,False
158,frame_0106.jpg,42.4,0.4056,0.6238,0.2857,0.04,6,2,False,False
159,frame_0080.jpg,32.0,0.4054,0.3354,0.2857,0.76,6,2,False,False
160,frame_0386.jpg,154.4,0.4044,0.5414,0.2857,0.24,9,2,False,False
161,frame_0376.jpg,150.4,0.404,0.5726,0.2857,0.16,7,2,False,False
162,frame_0220.jpg,88.0,0.4038,0.6957,0.0,0.28,2,0,False,False
163,frame_0303.jpg,121.2,0.3979,0.4803,0.2857,0.36,5,2,False,False
164,frame_0181.jpg,72.4,0.3958,0.5184,0.4286,0.04,6,3,False,False
165,frame_0294.jpg,117.6,0.3957,0.4177,0.1429,0.72,4,1,False,False
166,frame_0214.jpg,85.6,0.3944,0.4093,0.2857,0.52,3,2,False,False
167,frame_0081.jpg,32.4,0.3913,0.4088,0.1429,0.72,4,1,False,False
168,frame_0371.jpg,148.4,0.3899,0.4906,0.4286,0.08,4,3,False,False
169,frame_0394.jpg,157.6,0.3896,0.5758,0.2857,0.08,5,2,False,False
170,frame_0230.jpg,92.0,0.3891,0.6445,0.1429,0.12,7,1,False,False
171,frame_0094.jpg,37.6,0.3889,0.4406,0.4286,0.2,5,3,False,False
172,frame_0299.jpg,119.6,0.3878,0.4818,0.1429,0.52,4,1,False,False
173,frame_0311.jpg,124.4,0.3873,0.5871,0.2857,0.04,4,2,False,False
174,frame_0304.jpg,121.6,0.3856,0.5574,0.1429,0.32,5,1,False,False
175,frame_0316.jpg,126.4,0.383,0.4448,0.4286,0.16,5,3,False,False
176,frame_0179.jpg,71.6,0.3803,0.5411,0.2857,0.12,4,2,False,False
177,frame_0013.jpg,5.2,0.3801,0.2745,0.1429,1.0,4,1,False,False
178,frame_0085.jpg,34.0,0.3799,0.4501,0.1429,0.56,4,1,False,False
179,frame_0200.jpg,80.0,0.3778,0.4619,0.1429,0.52,2,1,False,False
180,frame_0090.jpg,36.0,0.375,0.4345,0.2857,0.36,5,2,False,False
181,frame_0100.jpg,40.0,0.3741,0.4751,0.4286,0.04,4,3,False,False
182,frame_0203.jpg,81.2,0.3735,0.4053,0.1429,0.64,4,1,False,False
183,frame_0267.jpg,106.8,0.373,0.4408,0.4286,0.12,6,3,False,False
184,frame_0086.jpg,34.4,0.3707,0.3619,0.2857,0.52,3,2,False,False
185,frame_0375.jpg,150.0,0.3687,0.4859,0.2857,0.2,8,2,False,False
186,frame_0273.jpg,109.2,0.3685,0.5175,0.2857,0.12,5,2,False,False
187,frame_0208.jpg,83.2,0.3678,0.4316,0.0,0.76,3,0,False,False
188,frame_0393.jpg,157.2,0.3676,0.4621,0.4286,0.04,5,3,False,False
189,frame_0396.jpg,158.4,0.3642,0.5786,0.1429,0.16,6,1,False,False
190,frame_0233.jpg,93.2,0.3636,0.4598,0.2857,0.24,6,2,False,False
191,frame_0180.jpg,72.0,0.362,0.5205,0.2857,0.08,6,2,False,False
192,frame_0184.jpg,73.6,0.3598,0.5161,0.2857,0.08,6,2,False,False
193,frame_0028.jpg,11.2,0.3579,0.3159,0.0,1.0,3,0,False,False
194,frame_0268.jpg,107.2,0.3542,0.4193,0.4286,0.08,5,3,False,False
195,frame_0398.jpg,159.2,0.3529,0.5241,0.1429,0.24,6,1,False,False
196,frame_0174.jpg,69.6,0.3512,0.403,0.2857,0.32,6,2,False,False
197,frame_0196.jpg,78.4,0.3499,0.5558,0.0,0.36,2,0,False,False
198,frame_0278.jpg,111.2,0.3481,0.4824,0.1429,0.32,7,1,False,False
199,frame_0084.jpg,33.6,0.3476,0.4551,0.0,0.6,3,0,False,False
200,frame_0329.jpg,131.6,0.3457,0.5736,0.1429,0.08,10,1,False,False
201,frame_0194.jpg,77.6,0.3429,0.5739,0.0,0.28,4,0,False,False
202,frame_0395.jpg,158.0,0.342,0.4645,0.2857,0.12,6,2,False,False
203,frame_0178.jpg,71.2,0.336,0.4366,0.2857,0.16,4,2,False,False
204,frame_0032.jpg,12.8,0.3334,0.2668,0.0,1.0,4,0,False,False
205,frame_0381.jpg,152.4,0.3292,0.4709,0.2857,0.04,6,2,False,False
206,frame_0116.jpg,46.4,0.3264,0.4231,0.1429,0.36,5,1,False,False
207,frame_0092.jpg,36.8,0.3228,0.3622,0.2857,0.28,4,2,False,False
208,frame_0373.jpg,149.2,0.3225,0.4095,0.2857,0.16,7,2,False,False
209,frame_0091.jpg,36.4,0.3223,0.4308,0.1429,0.32,3,1,False,False
210,frame_0282.jpg,112.8,0.3176,0.3575,0.1429,0.48,4,1,False,False
211,frame_0112.jpg,44.8,0.317,0.554,0.0,0.2,3,0,False,False
212,frame_0225.jpg,90.0,0.3138,0.4242,0.2857,0.08,4,2,False,False
213,frame_0217.jpg,86.8,0.3125,0.4651,0.0,0.4,3,0,False,False
214,frame_0322.jpg,128.8,0.3105,0.2998,0.4286,0.16,5,3,False,False
215,frame_0283.jpg,113.2,0.308,0.4079,0.0,0.52,5,0,False,False
216,frame_0309.jpg,123.6,0.3064,0.4791,0.1429,0.12,5,1,False,False
217,frame_0189.jpg,75.6,0.3063,0.4948,0.1429,0.08,4,1,False,False
218,frame_0269.jpg,107.6,0.3046,0.5075,0.1429,0.04,6,1,False,False
219,frame_0213.jpg,85.2,0.3021,0.3802,0.0,0.56,3,0,False,False
220,frame_0226.jpg,90.4,0.3018,0.4162,0.2857,0.04,6,2,False,False
221,frame_0383.jpg,153.2,0.2984,0.3774,0.2857,0.12,7,2,False,False
222,frame_0314.jpg,125.6,0.2982,0.3929,0.2857,0.08,4,2,False,False
223,frame_0216.jpg,86.4,0.2967,0.4174,0.0,0.44,2,0,False,False
224,frame_0117.jpg,46.8,0.2955,0.431,0.0,0.4,5,0,False,False
225,frame_0330.jpg,132.0,0.2928,0.5697,0.0,0.04,6,0,False,False
226,frame_0103.jpg,41.2,0.2851,0.3348,0.2857,0.16,5,2,False,False
227,frame_0313.jpg,125.2,0.2834,0.4651,0.1429,0.04,2,1,False,False
228,frame_0325.jpg,130.0,0.2808,0.3742,0.2857,0.04,5,2,False,False
229,frame_0223.jpg,89.2,0.2804,0.3254,0.2857,0.16,5,2,False,False
230,frame_0183.jpg,73.2,0.2755,0.5349,0.0,0.04,4,0,False,False
231,frame_0022.jpg,8.8,0.274,0.148,0.0,1.0,2,0,False,False
232,frame_0280.jpg,112.0,0.2726,0.3851,0.0,0.4,4,0,False,False
233,frame_0191.jpg,76.4,0.271,0.3922,0.1429,0.16,4,1,False,False
234,frame_0271.jpg,108.4,0.2692,0.4367,0.1429,0.04,3,1,False,False
235,frame_0221.jpg,88.4,0.268,0.3542,0.1429,0.24,5,1,False,False
236,frame_0172.jpg,68.8,0.2645,0.2832,0.1429,0.4,5,1,False,False
237,frame_0119.jpg,47.6,0.2595,0.2412,0.1429,0.48,4,1,False,False
238,frame_0323.jpg,129.2,0.2585,0.3833,0.1429,0.12,3,1,False,False
239,frame_0093.jpg,37.2,0.2582,0.4204,0.0,0.24,2,0,False,False
240,frame_0111.jpg,44.4,0.257,0.45,0.0,0.16,5,0,False,False
241,frame_0204.jpg,81.6,0.2531,0.2342,0.0,0.68,2,0,False,False
242,frame_0370.jpg,148.0,0.2523,0.4028,0.1429,0.04,8,1,False,False
243,frame_0219.jpg,87.6,0.2512,0.3745,0.0,0.32,4,0,False,False
244,frame_0205.jpg,82.0,0.242,0.1961,0.0,0.72,2,0,False,False
245,frame_0102.jpg,40.8,0.24,0.3463,0.1429,0.12,4,1,False,False
246,frame_0315.jpg,126.0,0.2397,0.4313,0.0,0.12,6,0,False,False
247,frame_0272.jpg,108.8,0.2369,0.4417,0.0,0.08,3,0,False,False
248,frame_0110.jpg,44.0,0.2334,0.3331,0.1429,0.12,3,1,False,False
249,frame_0382.jpg,152.8,0.2209,0.324,0.1429,0.08,6,1,False,False
250,frame_0310.jpg,124.0,0.2188,0.3198,0.1429,0.08,4,1,False,False
251,frame_0372.jpg,148.8,0.206,0.2782,0.1429,0.12,5,1,False,False
252,frame_0324.jpg,129.6,0.2053,0.2928,0.1429,0.08,4,1,False,False
253,frame_0224.jpg,89.6,0.1954,0.3429,0.0,0.12,4,0,False,False
254,frame_0109.jpg,43.6,0.189,0.2603,0.1429,0.08,6,1,False,False
255,frame_0197.jpg,78.8,0.1791,0.1982,0.0,0.4,1,0,False,False
256,frame_0190.jpg,76.0,0.1237,0.1994,0.0,0.12,3,0,False,False
